File,Volume1,Volume2,Volume3
'E:\My Matlab\My codes\MIAD\Sample AIBL Data\Raw MRI\AIBL_2_MR_MPRAGE_ADNI_confirmed__br_raw_20141030141855909_126_S235328_I450385_seg8.mat',7.703872e-01,5.301567e-01,3.868818e-01
'E:\My Matlab\My codes\MIAD\Sample AIBL Data\Raw MRI\AIBL_3_MR_MPRAGE_ADNI_confirmed__br_raw_20090107142228571_48_S61347_I132891_seg8.mat',5.158492e-01,3.449778e-01,3.951397e-01
'E:\My Matlab\My codes\MIAD\Sample AIBL Data\Raw MRI\AIBL_3_MR_MPRAGE_ADNI_confirmed__br_raw_20100118141215789_1_S78692_I164108_seg8.mat',5.071871e-01,3.364892e-01,4.157321e-01
